Calculated Name	ID Prefix	SRP ID	Syriaca.org URI's	Existing VIAF matched & edited	Not found in Syriac VIAF	New Extended Viaf Record Created	VIAF Record Exists?	Extended VIAF URL	Is a work?	Anonymous?	Shares attribution with	Part of pseudonymous author	Extended VIAF ID	Entry Notes/Comments	Follow-up	Log	Disambiguation	Disambiguation URLs	For Post-Publication Review	Record Description	Questions about Comprehensive VIAF URL matching	Not found in Comprehensive VIAF	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	Name split needs checking	Name split checked	GEDSH en-Start Pg	GEDSH en-Raw	GEDSH en-Entry Num	GEDSH en-Full	GEDSH en-Given	GEDSH en-Family	GEDSH en-Titles	Not an author or work	No Barsoum entry	Double Checked that there is no corresponding entry in Barsoum	Date Needs Checking	GEDSH en-DOB	GEDSH en-DOB Standard	GEDSH en-DOB Not Before	GEDSH en-DOB Not After	GEDSH en-DOD	GEDSH en-DOD Standard	GEDSH en-DOD Not Before	GEDSH en-DOD Not After	GEDSH en-Floruit	GEDSH en-Floruit Standard	GEDSH en-Floruit Not Before	GEDSH en-Floruit Not After	GEDSH en-Reign	GEDSH en-Reign Begin	GEDSH en-Reign Begin Standard	GEDSH en-Reign Begin Not Before	GEDSH en-Reign Begin Not After	GEDSH en-Reign End	GEDSH en-Reign End Standard	GEDSH en-Reign End Not Before	GEDSH en-Reign End Not After	GEDSH en-Name Place	GEDSH en-Name Place URI	GEDSH en-Birth Place URI	GEDSH en-Death Place URI	GEDSH en-Other Place URI	Retroversion of Syriac name from GEDSH	GEDSH Entry Entered	Barsoum en-Entry Num	Barsoum en-Page Num	Barsoum en-Raw	Barsoum en-Full	Barsoum en-Given	Barsoum en-Family	Barsoum en-Titles	Barsoum ar-Page Num	Barsoum ar-Full	Barsoum ar-Given	Barsoum ar-Family	Barsoum ar-Titles	Barsoum Ar Entered	Barsoum ar-Notes	Barsoum Birthplace	Barsoum en-DOD	Barsoum en-DOD Standard	Barsoum en-DOD Not Before	Barsoum en-DOD Not After	Barsoum en-Floruit	Barsoum en-Floruit Standard	Barsoum en-Floruit Not Before	Barsoum en-Floruit Not After	Barsoum en-Century	Barsoum en Name Place	Barsoum en Name Place URI	Barsoum en Birthplace URI	Barsoum en Death Place URI	Barsoum en Other Place URI	Barsoum syr-Page Num	Barsoum syr-NV Full	Barsoum syr-NV Given	Barsoum syr-NV Family	Barsoum syr-NV Titles	Barsoum syr-V Full	Barsoum syr-V Given	Barsoum syr-V Family	Barsoum syr-V Titles	Necessary Corrections	Authorized syr-Source	Authorized syr-NV Full	Authorized syr-NV Given	Authorized syr-NV Family	Authorized syr-NV Titles	Authorized syr-Needs Review	Abdisho YdQ syr-NV Full	Abdisho YdQ syr-NV Given	Abdisho YdQ syr-NV Family	Abdisho YdQ syr-NV Titles	Abdisho YdQ syr-V Full	Abdisho YdQ syr-V Given	Abdisho YdQ syr-V Family	Abdisho YdQ syr-V Titles	Abdisho YdQ syr-Page Num	Abdisho BO syr-NV Full	Abdisho BO syr-NV Given	Abdisho BO syr-NV Family	Abdisho BO syr-NV Titles	Abdisho BO syr-V Full	Abdisho BO syr-V Given	Abdisho BO syr-V Family	Abdisho BO syr-V Titles	Abdisho BO syr-Page Num	Syriac Entered	GS en-Full	GS en-Given	GS en-Family	GS en-Titles	Other en-Full	Other en-Given	Other en-Family	Other en-Titles	Extended VIAF Updated	Extended VIAF needs correction	CBSC en-Full	CBSC en-Link	VIAF-Dates Raw	VIAF-DOB	VIAF-DOB Standard	VIAF-DOD	VIAF-DOD Standard	Display Date	Original Sort Order	Merge Row Number
Aba	SRP	308	http://syriaca.org/person/308		NG		NO							Ca. 400. Pupils of St. Ephrem, now divided Removed (ca. 400) from name sicut print GEDSH - TAC						A pupil of St. Ephrem according to Barsoum.		NG																							2	3. Aba	3	Aba	Aba				JW	on page 37 and 47- Ephrem's student, but no separate entry 										ca. 400																				10 to 13			Aba	Aba			203	آبا	آبا			TAC																		ܐܒܐ	ܐܒܐ			ܐܰܒܐ	ܐܰܒܐ				Barsoum																																		Need to enter Arabic & Syriac - TAC 9/15/2012, 9/20/2012	Mar Aba	http://www.csc.org.il/db/browse.aspx?db=SB&sL=M&sK=Mar Aba&sT=keywords						ca. 400	309	
Aba I	SRP	306	http://syriaca.org/person/306	NG			YES	http://viaf.org/hosted/syriac/30467					30467	Aba I, Catholicos (d. 552) [clarified fr/GEDSH - have not checked VIAF - TC] Fixed GEDSH heading to "Aba I" sicut print - TAC									http://worldcat.org/identities/np-aba$mar catholikos of the east$d 552																						1	1. Aba I	1	Aba I	Aba		I		JW	TAC						552	0552																																																														Other	ܐܒܐ ܩܕܡܝܐ	ܐܒܐ		ܩܕܡܝܐ		ܡܪܝ ܐܒܐ	ܐܒܐ		ܡܪܝ	ܡܵܪܝ ܐܲܒܵܐ	ܐܲܒܵܐ		ܡܵܪܝ	70	ܡܪܝ ܐܒܐ	ܐܒܐ		ܡܪܝ					75	TAC											Mar Aba I	http://www.csc.org.il/db/browse.aspx?db=SB&sL=M&sK=Mar Aba I&sT=keywords	00.00.00-552.00.00				0552	552	307	374
Aba II of Kashkar	SRP	307	http://syriaca.org/person/307		JW		NO							Abdisho distinguishes "Aba of Kashkar" from "Aba bar Brik Sebyaneh," but the GEDSH entry seems to identify them - TAC		discuss						NG																					NG	TAC	1	2. Aba II of Kashkar	2	Aba II of Kashkar	Aba		II, of Kashkar		JW	TAC																																																																					Abdisho						ܐܒܐ ܒܪ ܒܪܝܟ ܨܒܝܢܗ	ܐܒܐ	ܒܪ ܒܪܝܟ ܨܒܝܢܗ		ܐܲܒܵܐ ܒܲܪ ܒܪܝܼܟ ܨܸܒܝܵܢܹܗ	ܐܲܒܵܐ	ܒܲܪ ܒܪܝܼܟ ܨܸܒܝܵܢܹܗ		74	ܐܒܐ ܒܪ ܒܪܝܟ ܨܒܝܢܗ	ܐܒܐ	ܒܪ ܒܪܝܟ ܨܒܝܢܗ						157	TAC											Aba of Kashkar	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Aba of Kashkar&sT=keywords							308	
Abgar the hagiographer	SRP	315	http://syriaca.org/person/315		NG		NO							Early 5 C								NG																							5	10. Abgar the hagiographer	10	Abgar the hagiographer	Abgar		the hagiographer		JW	TAC										early 5th cent.																																																																																																					early 5th cent.	316	
Abraham bar Dashandad	SRP	317	http://syriaca.org/person/317		NG		NO							8 C								AV																							7	12. Abraham bar Dashandad	12	Abraham bar Dashandad	Abraham	bar Dashandad			JW	TAC										8th cent.		0700	0799																																																								Abdisho						ܐܒܪܗܡ ܒܪ ܕܫܢܕܕ	ܐܒܪܗܡ	ܒܪ ܕܫܢܕܕ		ܐܲܒܪܵܗܵܡ ܒܲܪ ܕܵܫܲܢܕܵܕ	ܐܲܒܪܵܗܵܡ	ܒܲܪ ܕܵܫܲܢܕܵܕ		78	ܐܒܪܗܡ ܒܪ ܕܫܢܕܕ	ܐܒܪܗܡ	ܒܪ ܕܫܢܕܕ						194	TAC											Abraham bar Dashandad	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Abraham bar Dashandad&sT=keywords						8th cent.	317	
Abraham bar Lipeh	SRP	318	http://syriaca.org/person/318	NG			YES	http://viaf.org/hosted/syriac/35945					35945	7 C									http://worldcat.org/identities/viaf-122046692	http://viaf.org/viaf/122046692	http://viaf.org/viaf/209993688	http://viaf.org/viaf/121956601	http://viaf.org/viaf/71493461	http://viaf.org/viaf/24122837																	8	13. Abraham bar Lipeh	13	Abraham bar Lipeh	Abraham	bar Lipeh			JW	TAC										7th cent.																																																											Abdisho						ܐܒܪܗܡ ܒܪ ܠܝܦܗ	ܐܒܪܗܡ	ܒܪ ܠܝܦܗ		ܐܲܒܪܵܗܵܡ ܒܲܪ ܠܝܼܦܹܗ	ܐܲܒܪܵܗܵܡ	ܒܲܪ ܠܝܼܦܹܗ		78	ܐܒܪܗܡ ܒܪ ܠܝܦܗ	ܐܒܪܗܡ	ܒܪ ܠܝܦܗ						196	TAC											Abraham bar Lipheh	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Abraham bar Lipheh&sT=keywords						7th cent.	318	372
Abraham of Beth Rabban	SRP	319	http://syriaca.org/person/319		NG		NO							6 C								AV																							8	14. Abraham of Beth Rabban	14	Abraham of Beth Rabban	Abraham		of Beth Rabban		JW	TAC										6th cent.																																																											Abdisho						ܐܒܪܗܡ ܕܒܝܬ  ܪܒܢ	ܐܒܪܗܡ		ܕܒܝܬ ܪܒܢ	ܐܲܒܪܵܗܵܡ ܕܒܹܝܬ ܪܲܒܲܢ	ܐܲܒܪܵܗܵܡ		ܕܒܹܝܬ ܪܲܒܲܢ	70	ܐܒܪܗܡ ܕܒܝܬ  ܪܒܢ	ܐܒܪܗܡ		ܕܒܝܬ ܪܒܢ					71	TAC											Abraham of Bet Rabban	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Abraham of Bet Rabban&sT=keywords						6th cent.	319	
Abraham of Kashkar	SRP	320	http://syriaca.org/person/320	JW			YES	http://viaf.org/hosted/syriac/25104					25104	This record is acting weird. Correct info after Thom/Ralph has checked it. Erroneous "Kaskar" in Viaf instead of "Kashkar" - TAC									http://viaf.org/viaf/148289339	http://viaf.org/viaf/89776928	http://viaf.org/viaf/258211827																				8	15. Abraham of Kashkar	15	Abraham of Kashkar	Abraham		of Kashkar		JW	TAC		ca. 500	0500			588	0588																																																																																																Fix "Kaskar" to "Kashkar" - TAC 3/10/2013	Abraham of Kashkar	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Abraham of Kashkar&sT=keywords	500.00.00-588.00.00		0500		0588	588	320	376
Abraham of Nathpar	SRP	321	http://syriaca.org/person/321		NG		NO	http://viaf.org/viaf/100655283													http://viaf.org/viaf/39620483																								9	16. Abraham of Nathpar	16	Abraham of Nathpar	Abraham		of Nathpar		JW	mentioned on p 139 																																	Abraham of Naphtar	Abraham		of Naphtar	124	ابرهيم النفتري	ابرهيم		النفتري	TAC																		ܐܒܪܗܡ ܢܦܬܪܝܐ	ܐܒܪܗܡ		ܢܦܬܪܝܐ	ܐܰܒܪܳܗܡܳ ܢܰܦܬܪܝܐ	ܐܰܒܪܳܗܡܳ		ܢܰܦܬܪܝܐ	Barsoum's Syriac ܐܰܒܪܳܗܳܡ instead of ܐܰܒܪܳܗܡܳ - TAC	Abdisho						ܐܒܪܗܡ ܢܬܦܪܝܐ	ܐܒܪܗܡ		ܢܬܦܪܝܐ	ܐܲܒܪܵܗܵܡ ܢܲܬܦܪܵܝܵܐ	ܐܲܒܪܵܗܵܡ		ܢܲܬܦܪܵܝܵܐ	77	ܐܒܪܗܡ ܢܬܦܪܝܐ	ܐܒܪܗܡ		ܢܬܦܪܝܐ					191	TAC										Need to enter Arabic - TAC 9/15/2012	Abraham of Natpar	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Abraham of Natpar&sT=keywords							321	
Abrohom II Gharīb	SRP	257	http://syriaca.org/person/257		JW	JW	YES	http://viaf.org/hosted/syriac/37970					37970																																9			Abrohom II Gharīb	Abrohom		II, Gharīb																																JW	252	495	Patriarch Abraham bar Gharīb	Patriarch Abraham bar Gharīb	Abraham	bar Gharīb	Patriarch	443	البطريرك برهيم ابن غريب	برهيم	ابن غريب	البطريرك	JK	compare to p.291 again spelling mistake; took out "aleph" from "ibin" to stay stylistically identical to Barsoum - JK		1412	1412													474	ܦܛܪܝܪܟܐ ܐܒܪܗܡ ܒܪ ܓܪܝܒ	ܐܒܪܗܡ	ܒܪ ܓܪܝܒ	ܦܛܪܝܪܟܐ	ܦܰܛܪܝܰܪܟܐ ܐܰܒܪܗܡ ܒܰܪ ܓܰܪܝܒ	ܐܰܒܪܗܡ	ܒܰܪ ܓܰܪܝܒ	ܦܰܛܪܝܰܪܟܐ		Other	ܐܒܪܗܡ ܒܪ ܓܪܝܒ	ܐܒܪܗܡ	ܒܪ ܓܪܝܒ																										Abraham II Gharīb	Abraham		II, Gharīb					00.00.00-1412.00.00				1412	1412	260	227
