	Syriaca ID	Syriaca match notes	Work?	Anon?	Group?	ID	CHK	Century	certainty	VIAF ID	URL1	URL2	URL3	URL4	Born	Died	Flourished	Denomination	Baumstark (p)	Macuch	Barsaum (#)	Abuna (p) 1st ed.	Pat Syr §	Duval (p)	BO (vol p)	Chabot (p)	Wright (p)	Brock (p) Rev. ed.	English	French	German Full	German Given	German Family	German Titles	Baumstark Questions/Notes	Latin	Locations	Affiliations	Offices	Known associates	Biographical Sources
Bardaiṣan	3					37	x	2-3	yes	9945909	http://viaf.org/viaf/9945909				154; July 11 154 [C]	222 [B] [C]		S	12-14		3					21-23	28-29	8-9		Bardesane	 Bardaiṣàn 	Bardaiṣàn					Edessa	Court circles of King Abgar VIII [B]		Philip (pupil); Abgar son of Manou [C]	
 Mîles von Sûš (Susa) 	8																		30												Mîles von Sûš (Susa)	Mîles		von Sûš (Susa)							
Simeon bar Sabbaʿe [Pseudo-]	9					421	x	4								341[D]; 343 [S]		E	30		7			123	I.1-12		30-31				Patriarch Šemʿôn bar Ṣabbàʿē 	Šemʿôn	bar Ṣabbàʿē 	Patriarch			Seleucia-Ctesiphon [PS]		Bishop		
Aphrahaṭ	10					21	x	3-4		37707408, 108719777, 101895925	http://viaf.org/viaf/37707408	http://viaf.org/viaf/108719777	http://viaf.org/viaf/101895925		260-275 [PS]	c.345 [PS]		S	30-31		8		13			23-25	31-32	13-16		Aphraate	 Ap(h)rahaṭ 	 Ap(h)rahaṭ 				Aphrahates	Persian Empire [B]				
Ephrem	13					72	x	4							c.306-9 vii 373 [B]	373; June 9th 373 [C]		S	31-52		9		18	329-335	I.24-164	25-30	33-37	16-22		Saint Ephrem	Ap(h)rem	Ap(h)rem									
Simeon of Samosata	14					437	x	7-8									700	W	033-034		112										Šemʿôn von Samosata	Šemʿôn		von Samosata							
Aswana	15					22	x	4										S	29		14		23								 Aswànā 	 Aswànā 				Asuana	Edessa [PS]				
Absamya of Edessa	16					422	x	4										S	067-068		15				I.169-70		41-42				ʿAb(h)samjā	ʿAb(h)samjā									
Isaac of Antioch	17					101	x	5								c.488; c. 460 [C]		W	063-066		16				I.207-234	33	51-54	34-35			Isḥàq von Antiocheia	Isḥàq		von Antiocheia							
Cyrillona	20					50	x	4-5	yes	119185291	http://viaf.org/viaf/119185291						c.400 [B]	S	067-068		19		27			33	40-41	24		Cyrillona	Qûrillônā	Qûrillônā				Cyrillonas (Qurillona)	Syria or close to Edessa [PS]				
Gregory of Cyprus	21					91	x	7	yes	121999478	http://viaf.org/viaf/121999478							E	53/ 057-058				68	222-23, 336	I.170-74	57	42-43	44		Gregoire	Gregorios 	Gregorios									
Katholikos Aḥai	23																		52/ 54												Katholikos Aḥai	Aḥai		Katholikos							
Marutha of Maiperqaṭ	25					161	x	4-5								before 420			52/ 053-054		22		15	122, 123, 159	I.174-195		44-46				Bischof Màrût(h)ā von Maiperqaṭ	Màrût(h)ā		Bischof, von Maiperqaṭ							
Rabbula of Edessa	26					184	x	5	yes	89745298, 119931955	http://viaf.org/viaf/89745298	http://viaf.org/viaf/119931955				435[S, W ] Aug 7 [PS] [C]		W [PS]	66/ 071-073		23		33		I.197-199	45-47	47-49			Rabboula	 Bischof Rabbûlā von Edessa	Rabbûlā		Bischof, von Edessa		Rabbula ep. Edessae	Qenneshrin, Jerusalem, Edessa [PS]	Council of the Antiochian bishops at Nicea [PS]; Council at Ephesus (431) [C]	Bishop of Edessa	Eusebius of Chalcis and Acacius of Beroea (tutors) [PS]	
Balai	27					32	x	5	yes	98494359, 68465360, 84785099	http://viaf.org/viaf/98494359	http://viaf.org/viaf/68465360	http://viaf.org/viaf/84785099					W [PS]	061-063		24		29		I.166-68	35	39-40	24-25		Balai	Bàlai	Bàlai									
Isaac of Edessa	33					245	x	6										W	146-147		31							34-35													
Isaac of Edessa	34					246													146-147		32							34-35													
Polycarp	35					182	x	5-6										W [PS]	144-145		33		108													Polycarpus	Mabbug [PS]	Diocese of Mabbug [PS]	Chorepisopus [PS]	Philoxenus [PS]	
Stephen bar Sudhaili	36					208	x	6								c.550 [PS]	Early 6th [B]	W	167		34		38			66-68	76-77	35								Stephanus bar Sudaile	Edessa, Egypt [PS]		Monk [PS]	Philoxenus, Jacob of Serugh [B]	
Simeon the Potter	37					203	x	5-6									early 6th	W	158-159		35		40			64	78-79	31		Simeon						Simeon Quqaja (Aigulus)	Geshir [B]	Deacon [C]		Jacob of Sarugh [B]	
John Rufus	39							6											184												Joannes Ruphos	Joannes		Ruphos							
Joshua the Stylite	40					267	x	5-6										W	146		37																				
Jacob of Serugh	42					118	x	5-6	yes	51661489	http://viaf.org/viaf/51661489				c.451 [PS]; 452 [C]	29 Nov 521 [B]		W [PS]	148-158		38		39		I.283-340	62-63	67-72	30-31	Serugh	Jacques de Saroug						Jacobus Sarugensis	Kurtam, Edessa, Sarug, Batnan da-Srugh [B]; Hawara [PS]	Persian School of Edessa [B]	Chorepiskopos, Bishop [B]; Periodeutes [PS]		
Philoxenus of Mabbug	44					180	x	5-6	yes	54187001, 110172251	http://viaf.org/viaf/54187001	http://viaf.org/viaf/110172251			c. Middle of the 4th [PS]	12/10/0523		W	141-144		40		107		II.10-46	64-66	72-76	31-34	Aksenoyo; Xenos [PS]	Philoxene						Philoxenus Mabbugensis	Tahel, Tur 'Abdin, Edessa, Mabbug, Gangra, Philippoupolis [B]; Constantinople [PS]	Monastery of Mar Gabriel, Persian School of Edessa	Bishop of Mabbug [PS]	Polycarp [B]; Addai [C]	
Barlaha	45					342	x	6										W	164		41																				
Simeon of Beth Liqin	46					423	x	6										W	164		42																Black Mountain, Antioch	Monastery of Beth Liqin	Abbot	Barlaha	
Paul of Kallinikos	47					178	x	6										W	160		43				II.46-48	71	94-5			Paul de Callinique							Callinicus, Edessa [C]		Bishop of Callinicus		
Mara of Amid	48					158	x	6								ca. 527		W	188		44				II.48-53	71	83			Mara d'Amid							Amid				
Sergius of Reshʿaina	49					190	x	6	yes	103637653	http://viaf.org/viaf/103637653					536 [B] [C]		W	167-169		45		42			71-72		35		Sergius						Sergius (Sargis) e Resh'aina	Alexandria, Reshaina [B]; Antioch, Rome, Constantinople [C]		Priest, Archiatros [B]	Ephrem [PS]	
John of Tella	50					128	x	5-6	yes	34420966	http://viaf.org/viaf/34420966					538; commemoration on Feb 6th		W	174		46		110		II. 54	70-71	81-83		John bar Kursos of Tella	Jean bar Cursus						Ioannes (Johannan) Bar Kursos ep. Tellae	Tella; Callinicus, Nisibis, Byzantium, Antioch [PS]; Constantinople [C]	Monastery of Mār Zakkay [PS]	Bishop of Tella	Elias (Pupil); John of Asia [C]	John of Ephesus' Church History, Biography of Elias [PS]
John bar Aphtonia	52					127	x	6	yes	46904658	http://viaf.org/viaf/46904658					537 [C]		W	181		48					73				Jean bar Aphtonius							Seleucia, Qenneshre [C]		Abbot of Monastery of St. Thomas [C]		
Simeon of Beth Arsham	53					206	x	6	yes	19922258, 111062391	http://viaf.org/viaf/19922258	http://viaf.org/viaf/111062391				c.548 [C]		W	145-146		49					69-70		36		Simeon de Beit Arscham							Beit Arscham, Constantinople [C]		Bishop [C]		
Samuel of Rishaina	55					424	x	6										W			51																				Wright Syr 701; Barhebraeus
Thomas of Germanicia	57					425	x	6								542		W			53																				
Zacharias Rhetor	58							5-6											183-184												Zacharias	Zacharias									
Daniel of Ṣalaḥ	59					55	x	6	yes	2432364	http://viaf.org/viaf/2432364						Mid 6th cent [B]	W	179		55		114		I.495	68-69	159-60	36		Daniel						Daniel of Ṣalaḥ (Danyēl Ṣalḥāyā)	Salah				
Elijah	63					62	x	6									Mid 6th cent [B]	W	180		59							36												Mar Sergius  and Mar Paul [B]	Life of John of Tella
