New URI	Syriaca Matched URI	relation possibly-identical	idno temporary	persName syriaca-headword.en-x-gedsh	persName.en-x-gedsh	note abstract.en	trait.en	persName syriaca-headword.Source 4.syr	Source 4	citedRange pp.Source 4	persName.Source 5.en	persName.Source 5.en	sex.Source 5.en	state office.Source 5.en	Source 5	citedRange section.Source 5	persName syriaca-headword.Source 1.syr	persName.Source 2.en	persName.Source 2.en	persName.Source 1.syr	person ana	sex.Source 2.en	state office.Source 2.en	Source 1	citedRange pp.Source 1	Source 2	citedRange section.Source 2	birth.Source 2.en	birth when.Source 2	birth notBefore.Source 2	birth notAfter.Source 2	death.Source 2.en	death when.Source 2	death notBefore.Source 2	death notAfter.Source2	death.Source 5.en	death when.Source 5	death notBefore.Source 5	death notAfter.Source5	floruit.Source 2.en	floruit when.Source 2	floruit notBefore.Source 2	floruit notAfter.Source 2	idno URI	Other references	idno PLRE	Source 3	citedRange vol.Source 3	citedRange pp.Source 3
2200			/AbgarVI	Abgar VI													ܐܒܓܪ	Abgar the king				M	King of Edessa	633	3	657	4													88/9		0088	0089						
2201			/AbgarVIII	Abgar VIII													ܐܒܓܪ	Abgar the king				M	King of Edessa	633	1	657	8													November 201	0201-11			https://en.wikipedia.org/wiki/Abgar_VIII					
2202			/Abraham	Abraham													ܐܒܪܗܡ					M	Bishop of Edessa	633	4	657	18													345/6		0345	0346	https://en.wikipedia.org/wiki/Abraham_of_Edessa					
2203			/Addai	Addai													ܐܕܝ	Addi				M	Bishop of Edessa	633	12	657	103													0533-08-28	0533-08-28			https://en.wikipedia.org/wiki/Addi_of_Edessa					
2204			/Anatolius	Anaṭolios	Anaṭol												ܐܢܛܠ					M	Stratelates	633	7	657	61													441/2		0441	0442		Fl. Anatolius 10: PLRE II 84-86	Fl. Anatolius 10	673	II	84-86
2205			/Andreos	Andreas	Andraws			ܐܢܕܪܐܘܣ	633	11	Andreas		M	Bishop of Edessa	657	95								633	12	657	103					12/1/0532	0532-12-01											https://en.wikipedia.org/wiki/Andreas_of_Edessa					
	891		/AndreosSamosata	Andreas of Samosata	Andraws of Samosata												ܐܢܕܪܐܘܣ ܕܫܡܝܫܛ	Andrew of Samosata			#syriaca-author	M	Bishop of Samosata	633	7	657	56													428/9		0428	0429						
2208			/Anonymi09	The people of Edessa who fled the persecution of the Arians in 377		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The people of Edessa who fled the persecution of the Arians in 377						633	5	657	31													September 377	0377-09								
2210			/Anonymi1	Workers in the government of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											Workers in the government of Edessa					Government officials	633	1	657	8													November 201	0201-11								
2211			/Anonymi10	The Arians who persecuted people in the church of Edessa in 377		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The Arians who persecuted people in the church of Edessa in 377						633	5	657	31													September 373	0373-09								
2212			/Anonymi11	Those attending the Council of Constantinople in 381		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											Those attending the Council of Constantinople in 381						633	5	657	36													381	0381								
2213			/Anonymi13	The Jews of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The Jews of Edessa						633	6	657	51													412/3		0412	0413						
2214			/Anonymi14	Those who say that sin is implanted in nature		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											Those who say that sin is implanted in nature						633	6 -- 7	657	55													427/8		0427	0428						
2215			/Anonymi15	The poor and invalid of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The poor and invalid of Edessa						633	8	657	68													457	0457								
2216			/Anonymi16	The craftsmen of the land of Edessa		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The craftsmen of the land of Edessa					Artisans	633	8	657	74													May 498	0498-05								
2217			/Anonymi17	The inhabitants of Nicopolis		An anonymous person or group of persons mentioned in the <title ref=”http://syriaca.org/work/119”>The Chronicle of Edessa<title> (circa mid 6th century).	anonymous											The inhabitants of Nicopolis						633	8	657	76					498/9		0498	0499														
