zotero,authorabbr,titleabbr,"

titleexp",uritype,
1,,AB,Analecta Bollandiana,Journal,Lump
2,,AMS,Acta martyrum et sanctorum,,
3,,ASMO,,,
4,Aphrahat,Exposés,,,
5,Armalet,Voyage,,,
6,,AS,Acta sanctorum quotquot tot orbe coluntur,MV,Lump
7,Bar Bahlūl,,,,
8,Bar Hébraeus,Chron. eccl.,,,
9,Barsaum,Deir-uz-Zapharan,,,
10,Barsaum,,,,
11,Barsaum,Lu'lu,,,
12,Bedjan,Jab-Alaha,Histoire de Mar Jab-Alaha,,
13,Benni,,,,
14,,BHG,Bibliotheca hagiographica graeca,,
15,,BHO,Bibliotheca hagiographica orientalis,,
16,al-Bīrūnī,"
",,,
17,,BO,Bibliotheca orientalis Clementino-vaticana,,
18,Brock,"""Calendar""",,,
19,Brock,"""Fenqitho""",,,
20,Brock,Monasteries,,,
21,Brock-Harvey,Holy Women,,,
22,Brooks,Vitae virorum,,,
23,,BS,Bibliotheca sanctorum,MV,Lump
24,,BSO,Bibliotheca sanctorum orientalium,,
25,Budge,Governors,,,
26,Budge,Histories,,,
27,Burkitt,Euphemia,,,
28,Payne Smith,Catalogue,,,
29,Sachau,Catalogue,,,
30,Vosté,Catalogue,,,
31,Wright,Catalogue,,,
32,Chabot,Synodicon orientale,,,
33,Cheikho,,,,
34,,Chron. 1234,,,
35,,Chronique de Arbèle,,,
36,,Chronique de Seert,,,
37,,CSCO,Corpus scriptorum christianorum orientium,Series,Lump
38,Cureton,Documents,,,
39,Daher,Synaxaire maronite,,,
40,Delehaye,Actes,,,
41,Devos,Abgar,,,
42,Devos,Commémoraisons,,,
43,Devos,Martyrs persans,,,
44,Devos ,Notes,,,
45,Devos,Sainte Sīrīn,,,
46,Devreesse,Antioche,,,
47,,DHGE,Dictionnaire d'histoire et de géographie ecclésiastique,MV,Lump
48,,DTC,Dictionnaire de théologie catholique,MV,Lump
49,,EI2,Encyclopédia de l'Islam,MV,Lump
50,,EIr,Encyclopaedia Iranica,MV,Lump
51,Fiey,Addaï Scher,,,
52,Fiey,Assyrie chrétienne,,,
53,Fiey,Bar 'Eta,,,
54,Fiey,Chrétiens syriaques,,,
55,Fiey,Diocèses,,,
56,Fiey,Elam,,,
57,Fiey,Hagiographie,,,
58,Fiey,Hakkari turc,,,
59,Fiey,Jalons,,,
60,Fiey,Ma 'īn,,,
61,Fiey,Mossoul chrétienne,,,
62,Fiey,Nisibe,,,
63,Fiey,Réhabilitation,,,
64,Fiey,Saints,,,
65,Fiey,Saintes femmes,,,
66,Fiey,Sainnts serge,,,
