zotero,authorabbr,titleabbr,"

titleexp",uritype,
16,al-Bīrūnī,"
",,,
18,Brock,"""Calendar""",,,
584,Wiessner,"""Christlicher Heiligenkult im Umkreis eines sassanidischen Grosskonigs""",,,
19,Brock,"""Fenqitho""",,,
1,,AB,Analecta Bollandiana,Journal,Lump
41,Devos,Abgar,,,
40,Delehaye,Actes,,,
51,Fiey,Addaï Scher,,,
2,,AMS,Acta martyrum et sanctorum,,
82,Land,Anecdota syriaca,,,
46,Devreesse,Antioche,,,
6,,AS,Acta sanctorum quotquot tot orbe coluntur,MV,Lump
137,Vööbus,Asceticism,,,
3,,ASMO,,,
52,Fiey,Assyrie chrétienne,,,
73,Hoffmann,Auszüge,,,
583,C. Jullien and F. Jullien,Aux origines de l'église de Perse : les actes de Mar Mari,,,
53,Fiey,Bar 'Eta,,,
14,,BHG,Bibliotheca hagiographica graeca,,
15,,BHO,Bibliotheca hagiographica orientalis,,
17,,BO,Bibliotheca orientalis Clementino-vaticana,,
23,,BS,Bibliotheca sanctorum,MV,Lump
24,,BSO,Bibliotheca sanctorum orientalium,,
121,Sauget,Calendrier maronite,,,
28,Payne Smith,Catalogue,,,
29,Sachau,Catalogue,,,
30,Vosté,Catalogue,,,
31,Wright,Catalogue,,,
54,Fiey,Chrétiens syriaques,,,
34,,Chron. 1234,,,
8,Bar Hébraeus,Chron. eccl.,,,
35,,Chronique de Arbèle,,,
36,,Chronique de Seert,,,
42,Devos,Commémoraisons,,,
37,,CSCO,Corpus scriptorum christianorum orientium,Series,Lump
9,Barsaum,Deir-uz-Zapharan,,,
47,,DHGE,Dictionnaire d'histoire et de géographie ecclésiastique,MV,Lump
55,Fiey,Diocèses,,,
120,Šābuštī,Diyārāt,,,
38,Cureton,Documents,,,
138,Vööbus,Documents,,,
48,,DTC,Dictionnaire de théologie catholique,MV,Lump
125,Scher,Ecrivains,,,
126,Segal,Edessa,,,
49,,EI2,Encyclopédia de l'Islam,MV,Lump
50,,EIr,Encyclopaedia Iranica,MV,Lump
56,Fiey,Elam,,,
27,Burkitt,Euphemia,,,
75,Honigmann,Evêques et évêchés,,,
105,Peeters,Ex-voto,,,
4,Aphrahat,Exposés,,,
585,Eilers,Festgabe deutscher Iranisten zur 2500 Jahrfeier Irans,,,
122,Sauget,Fragment,,,
70,,GCAL ,Geschichte der christlichen arabischen Literatur,,
106,Peeters,Golindouch,,,
25,Budge,Governors,,,
57,Fiey,Hagiographie,,,
93,Nau,Hagiographie,,,
58,Fiey,Hakkari turc,,,
26,Budge,Histories,,,
21,Brock-Harvey,Holy Women,,,
84,Lewis,Holy Women,,,
128,Sévère,Homiliae,,,
76,,Hymnes sur les saintes femmes,,,
71,Guidi,Indice agiografico,,,
77,,JA,Journal asiatique,Journal,Individual
12,Bedjan,Jab-Alaha,Histoire de Mar Jab-Alaha,,
59,Fiey,Jalons,,,
78,,JAOS,Journal of the American Oriental Society,Journal,Individual
80,,JECS,Journal of Early Christian Studies,Journal,Individual
94,Nau,Légendes syriaques,,,
582,C. Jullien and F. Jullien,Les Actes de Mār Māri,,,
85,,Liber castitatis,,,
86,,Liber superiorum,,,
95,Nau,Littérature canonique,,,
79,"
",Lives of the Eastern Saints,,,
11,Barsaum,Lu'lu,,,
60,Fiey,Ma'īn,,,
124,Scheil,Mar Benjamin,,,
107,Peeters,Martyrologe,,,
43,Devos,Martyrs persans,,,
140,Wiessner,Märyrer,,,
89,,MIDEO,Mélanges de l'Institut domincain d'études orientales,Journal,Individual
20,Brock,Monasteries,,,
103,Palmer,Monk and Mason,,,
61,Fiey,Mossoul chrétienne,,,
90,,MS,Chronique,,
62,Fiey,Nisibe,,,
44,Devos ,Notes,,,
96,Nau,Notice,,,
98,,OC,Oriens christianus,Journal,Individual
